gene	beta	hr	se	z	p	q
PTTG1	0.7440656970593134	2.1044742996469004	0.16676592421768027	4.461737015819138	8.129796016831392e-06	0.08351207099813207
PPP1R3G	1.2209110432891872	3.3902750143849416	0.2739650513827894	4.456448138647093	8.33287477530753e-06	0.08351207099813207
PLEK2	0.5248432480647197	1.6901938864502863	0.13347303254162107	3.932204416656654	8.417044316955113e-05	0.562370787630161
GADD45A	0.6307287927866451	1.8789794670678288	0.17165263703759878	3.6744486054617984	0.00023836361621287772	0.8868272329163959
LDHA	0.8187938724438389	2.267762975945973	0.22427033320732379	3.6509236898797295	0.0002612988742134448	0.8868272329163959
HS3ST2	-0.6977147516395611	0.49772142220465254	0.1928769133104945	-3.617409360530233	0.00029756648401568775	0.8868272329163959
ATF7IP2	-0.9275108464644887	0.3955370384542929	0.25839010758313735	-3.589575681282848	0.0003312166623450352	0.8868272329163959
PTHLH	0.42630063871543067	1.5315811585173196	0.11933734674206936	3.572231580083799	0.00035395219833023184	0.8868272329163959
HMGB2	0.6159835969181855	1.8514768111198463	0.176632007014265	3.487383783554234	0.0004877708611479292	0.9993228105536583
RRM1	0.9221251417227313	2.5146286579173376	0.27008694630885516	3.4141788573085816	0.0006397456340998531	0.9993228105536583
DPP10	0.673085206243562	1.9602758560927995	0.1976514119204923	3.4054156239183295	0.0006606342488804096	0.9993228105536583
RAD23B	1.545808383404993	4.691762837657799	0.4623575096228343	3.3433184305062507	0.0008278284764986488	0.9993228105536583
PHLDA1	0.49207039767990424	1.6356992645854564	0.1486511512180948	3.310236036840098	0.0009321732763325485	0.9993228105536583
CDC26	1.381970905705711	3.9827435090581136	0.4179111753915269	3.3068531953255116	0.0009435032411728717	0.9993228105536583
VDAC1	0.9037394492361495	2.468817890494085	0.2753430587192938	3.2822307322353526	0.001029892954780287	0.9993228105536583
HPF1	1.217305595265013	3.3780735630996133	0.37200278422609473	3.2723023775143645	0.001066754197727171	0.9993228105536583
PTMAP4	1.1554777886443486	3.1755402922172857	0.3534674146940772	3.2689796586890587	0.001079360607838975	0.9993228105536583
C9orf40	0.6938710307989845	2.0014482245636924	0.21619308269619167	3.209496909640057	0.001329674759919408	0.9993228105536583
ANP32B	1.067139480404028	2.9070519160745083	0.3348694694836998	3.1867326754192873	0.0014388969971455001	0.9993228105536583
UQCRB	1.0464616431553961	2.847557596441612	0.33031231875776207	3.1680975359651344	0.0015344003326980271	0.9993228105536583
ZNF875	-0.7156732007144728	0.48886289814302236	0.22694570821880897	-3.153499602752826	0.001613254480313131	0.9993228105536583
NPM1	0.8238994783446837	2.279370887472995	0.261593099407272	3.149545917730658	0.0016352440877125396	0.9993228105536583
